Name,Latitude,Longitude,Diameter
Feuillée,27.40,-9.40,9.0
Finsch,23.60,21.30,4.0
Finsen,-42.00,-177.90,72.0
Firmicus,7.30,63.40,56.0
Firsov,4.50,112.20,51.0
Fischer,8.00,142.40,30.0
Fitzgerald,27.50,-171.70,110.0
Fizeau,-58.60,-133.90,111.0
Flammarion,-3.40,-3.70,74.0
Flamsteed,-4.50,-44.30,20.0
Fleming,15.00,109.60,106.0
Florensky,25.30,131.50,0.0
Focas,-33.70,-93.80,22.0
Fontana,-16.10,-56.60,31.0
Fontenelle,63.40,-18.90,38.0
Foster,23.70,-141.50,33.0
Foucault,50.40,-39.70,23.0
Fourier,-30.30,-53.00,51.0
Fowler,42.30,-145.00,146.0
Fox,0.50,98.20,24.0
Fra Mauro,-6.10,-17.00,101.0
Fracastorius,-21.50,33.20,112.0
Franck,22.60,35.50,12.0
Franklin,38.80,47.70,56.0
Franz,16.60,40.20,25.0
Fraunhofer,-39.50,59.10,56.0
Fredholm,18.40,46.50,14.0
Freud,25.80,-52.30,2.0
Freundlich,25.00,171.00,85.0
Fridman,-12.60,-126.00,102.0
Froelich,80.30,-109.70,58.0
Frost,37.70,-118.40,75.0
Fryxell,-21.30,-101.40,18.0
Furnerius,-36.00,60.60,135.0
G. Bond,32.40,36.20,20.0
Gadomski,36.40,-147.30,65.0
Gagarin,-20.20,149.20,265.0
Galen,21.90,5.00,10.0
Galilaei,10.50,-62.70,15.0
Galle,55.90,22.30,21.0
Galois,-14.20,-151.90,222.0
Galvani,49.60,-84.60,80.0
Gambart,1.00,-15.20,25.0
Gamow,65.30,145.30,129.0
Ganskiy (Hansky),-9.70,97.00,43.0
Ganswindt,-79.60,110.30,74.0
Garavito,-47.50,156.70,74.0
Gardner,17.70,33.80,18.0
Gärtner,59.10,34.60,115.0
Gassendi,-17.60,-40.10,101.0
Gaston,30.90,-34.00,2.0
Gaudibert,-10.90,37.80,34.0
Gauricus,-33.80,-12.60,79.0
Gauss,35.70,79.00,177.0
Gavrilov,17.40,130.90,60.0
Gay-Lussac,13.90,-20.80,26.0
Geber,-19.40,13.90,44.0
Geiger,-14.60,158.50,34.0
Geissler,-2.60,76.50,16.0
Geminus,34.50,56.70,85.0
Gemma Frisius,-34.20,13.30,87.0
Gerard,44.50,-80.00,90.0
Gerasimovich,-22.90,-122.60,86.0
Gernsback,-36.50,99.70,48.0
Gibbs,-18.40,84.30,76.0
Gilbert,-3.20,76.00,112.0
Gill,-63.90,75.90,66.0
Ginzel,14.30,97.40,55.0
Gioja,83.30,2.00,41.0
Giordano Bruno,35.90,102.80,22.0
Glaisher,13.20,49.50,15.0
Glauber,11.50,142.60,15.0
Glazenap,-1.60,137.60,43.0
Glushko,8.40,-77.60,43.0
Goclenius,-10.00,45.00,72.0
Goddard,14.80,89.00,89.0
Godin,1.80,10.20,34.0
Goldschmidt,73.20,-3.80,113.0
Golgi,27.80,-60.00,5.0
Golitsyn,-25.10,-105.00,36.0
Golovin,39.90,161.10,37.0
Goodacre,-32.70,14.10,46.0
Gould,-19.20,-17.20,34.0
Grace,14.20,35.90,1.0
Grachev,-3.70,-108.20,35.0
Graff,-42.40,-88.60,36.0
Grave,-17.10,150.30,40.0
Greaves,13.20,52.70,13.0
Green,4.10,132.90,65.0
Gregory,2.20,127.20,67.0
Grigg,12.90,-129.40,36.0
Grimaldi,-5.50,-68.30,172.0
Grissom,-47.00,-147.40,58.0
Grotrian,-66.50,128.30,37.0
Grove,40.30,32.90,28.0
Gruemberger,-66.90,-10.00,93.0
Gruithuisen,32.90,-39.70,15.0
Guericke,-11.50,-14.10,63.0
Guillaume,45.40,-173.40,57.0
Gullstrand,45.20,-129.30,43.0
Gum,-40.40,88.60,54.0
Gutenberg,-8.60,41.20,74.0
Guthnick,-47.70,-93.90,36.0
Guyot,11.40,117.50,92.0
Gyldén,-5.30,0.30,47.0
H. G. Wells,40.70,122.80,114.0
Hagecius,-59.80,46.60,76.0
Hagen,-48.30,135.10,55.0
Hahn,31.30,73.60,84.0
Haidinger,-39.20,-25.00,22.0
Hainzel,-41.30,-33.50,70.0
Haldane,-1.70,84.10,37.0
Hale,-74.20,90.80,83.0
Hall,33.70,37.00,35.0
Halley,-8.00,5.70,36.0
